AU2009347499A1,,授权,,Nano-Positive Electrode Material Of Lithium Cell And Method For Preparation Thereof,,,,2009/6/23,2011/5/12,XU RUISONG,,XU RUISONG,,,,,,,
AU2009347499B2,,授权,,Nano-Positive Electrode Material Of Lithium Cell And Method For Preparation Thereof,,,,2009/6/23,2012/7/26,XU RUISONG,,XU RUISONG,,,,,,,
AU2014336895A1,,权利终止,,Tungsten-based material super battery and supercapacitor,,,,2014/5/19,2016/5/12,苏州汉瀚储能科技有限公司,,苏州汉瀚储能科技有限公司,,,,,,,
AU2014336895B2,,权利终止,,Tungsten-based material super battery and supercapacitor,,,,2014/5/19,2016/11/24,苏州汉瀚储能科技有限公司,,苏州汉瀚储能科技有限公司,,,,,,,
AU2015292008A1,,撤回-视为撤回,,Use of tungsten-containing material,,,,2015/7/24,2017/1/19,苏州汉瀚储能科技有限公司,,苏州汉瀚储能科技有限公司,,,,,,,
AU2015292008B2,,撤回-视为撤回,,Use of tungsten-containing material,,,,2015/7/24,2018/5/10,苏州汉瀚储能科技有限公司,,苏州汉瀚储能科技有限公司,,,,,,,
AU2022275878A1,,公开,,"Lithium battery positive electrode material precursor, preparation method therefor and application thereof",,,,2022/5/16,2023/11/30,中国石油化工集团有限公司 | 中国石油化工股份有限公司上海石油化工研究院,,中国石油化工集团有限公司 | 中国石油化工股份有限公司上海石油化工研究院,,,,,,,
CA3156276A1,,实质审查,,"Lithium battery positive electrode material precursor, preparation method therefor and application thereof",,,,2020/10/16,2021/4/22,中国石油化工集团有限公司 | 中国石油化工股份有限公司上海石油化工研究院,,中国石油化工集团有限公司 | 中国石油化工股份有限公司上海石油化工研究院,,,,,,,
CA3223411A1,,实质审查,,"Current collector, electrode sheet, and preparation method for current collector",,,,2022/9/30,2023/4/6,比亚迪股份有限公司,,比亚迪股份有限公司,,,,,,,
CA3223413A1,,实质审查,,"Method for preparing lithium iron phosphate positive electrode material, positive electrode pole piece and lithium ion battery",,,,2022/9/26,2023/3/30,比亚迪股份有限公司,,比亚迪股份有限公司,,,,,,,
CN100334261C,,未缴年费,,金红石型结构TiO2单分散纳米单晶的合成方法,,,,2005/12/1,2007/8/29,华中师范大学,,华中师范大学,,,,,,,
CN100336246C,,放弃-主动放弃,,非水电解质二次电池,,,,2005/9/1,2007/9/5,松下电器产业株式会社,,松下电器产业株式会社,,,,,,,
CN100336247C,,未缴年费 | 许可,,一种锂离子电池的磷酸盐正极材料的制备方法,,,,2004/3/30,2007/9/5,中国科学院物理研究所,,中国科学院物理研究所,,,,,,,
CN100336248C,,未缴年费 | 许可,,锂离子电池阴极活性材料的表面改性方法,,,,2005/10/10,2007/9/5,西安交通大学,,西安交通大学,,,,,,,
CN100337349C,,未缴年费 | 权利转移,,一种合成锂离子电池正极材料浆料的方法,,,,2004/2/23,2007/9/12,深圳市比克动力电池有限公司,,深圳市比克动力电池有限公司,,,,,,,
CN100337386C,,授权 | 权利转移,,用于超导储能的双向功率控制器,,,,2004/8/10,2007/9/12,国网电力科学研究院有限公司 | 国电南瑞科技股份有限公司,,国网电力科学研究院有限公司 | 国电南瑞科技股份有限公司,,,,,,,
CN100337730C,,未缴年费,,结构对称聚醚砜亲水性微孔膜的制备方法,,,,2005/10/24,2007/9/19,浙江大学,,浙江大学,,,,,,,
CN100338799C,,期限届满 | 权利转移,,锂基电化学活性材料及其制备,,,,2000/12/22,2007/9/19,锂沃科斯科技有限公司,,锂沃科斯科技有限公司,,,,,,,
CN100338802C,,授权 | 权利转移,,锂离子电池负极材料及其制备方法,,,,2005/4/20,2007/9/19,贝特瑞新材料集团股份有限公司,,贝特瑞新材料集团股份有限公司,,,,,,,
CN100339310C,,未缴年费,,尖晶石结构锂锰氧化物的制备方法,,,,2006/2/27,2007/9/26,新乡市中科科技有限公司,,新乡市中科科技有限公司,,,,,,,
CN100340475C,,未缴年费,,一种锌离子掺杂的橄榄石结构LiFePO4及其制备方法和用途,,,,2005/10/27,2007/10/3,复旦大学,,复旦大学,,,,,,,
